geracao;minFitness;maxFitness;avgFitness;time
0;24741;26601;25599;0.011930
1;24180;26070;25172;0.021586
2;24153;26024;25030;0.031175
3;24153;26265;24904;0.041094
4;24089;26201;24843;0.050873
5;23866;26218;24767;0.060730
6;23761;26397;24659;0.070708
7;23761;25837;24569;0.080095
8;23602;26270;24590;0.089668
9;23520;26063;24378;0.099301
10;23432;26250;24313;0.109000
11;23280;26364;24190;0.119074
12;22947;25926;24076;0.129819
13;22947;26609;24000;0.139389
14;22876;25933;23746;0.148751
15;22808;26505;23723;0.158132
16;22573;25986;23501;0.167514
17;22573;25785;23585;0.176736
18;22480;26528;23485;0.184074
19;22480;25941;23450;0.190247
20;22383;26309;23338;0.196089
21;22328;25881;23255;0.203523
22;22031;25940;23096;0.211109
23;22018;26551;23240;0.219452
24;21878;26156;23087;0.226982
25;21796;26049;22998;0.234360
26;21736;26653;22900;0.241765
27;21606;26429;22828;0.249192
28;21488;25883;22746;0.255520
29;21488;26280;22708;0.261258
30;21488;26064;22750;0.266053
31;21469;25737;22543;0.270645
32;21463;26245;22589;0.274761
33;21429;25784;22575;0.278831
34;21351;25808;22648;0.282604
35;21332;26072;22649;0.286391
36;21324;26343;22354;0.290163
37;21284;25806;22378;0.293916
38;21219;26351;22348;0.297634
39;21187;26305;22412;0.301376
40;21063;26221;22389;0.305538
41;21063;26081;22266;0.310287
42;21063;25897;22219;0.315091
43;21039;26298;22202;0.320607
44;21024;26341;22266;0.326371
45;21011;26368;22180;0.332797
46;20984;26139;22328;0.339380
47;20954;26497;22229;0.345785
48;20920;25965;22118;0.352093
49;20920;26138;22110;0.358431
50;20920;25769;22153;0.364719
51;20920;26357;22191;0.370949
52;20920;26294;22276;0.377170
53;20905;25845;22113;0.383410
54;20892;26833;22006;0.389548
55;20892;25959;21991;0.395874
56;20882;25471;22085;0.403084
57;20862;26547;22122;0.410286
58;20774;26301;22096;0.417679
59;20704;25806;22072;0.424889
60;20644;26044;22172;0.432433
61;20644;25999;22073;0.440992
62;20604;25939;22020;0.450025
63;20575;25702;21761;0.458694
64;20566;26609;21780;0.468148
65;20566;26319;21987;0.478018
66;20509;26212;21961;0.487266
67;20509;26711;21894;0.496461
68;20506;25852;21803;0.505553
69;20496;26265;21826;0.514675
70;20483;25874;21765;0.523603
71;20479;25947;21759;0.532403
72;20454;26550;21867;0.541270
73;20444;26458;21938;0.549901
74;20440;26444;21865;0.558500
75;20440;25773;21826;0.566909
76;20415;26475;21752;0.575715
77;20415;26422;21793;0.584187
78;20415;26588;21827;0.592562
79;20415;26599;21817;0.600828
80;20415;25962;21586;0.608963
81;20415;26415;21686;0.616925
82;20415;26230;22128;0.625126
83;20415;26372;21817;0.633337
84;20415;26132;21738;0.641500
85;20415;26478;21957;0.650085
86;20413;26234;21611;0.658027
87;20400;26116;21805;0.666508
88;20359;26523;21924;0.674652
89;20357;25963;21711;0.683015
90;20278;26449;21524;0.692155
91;20278;25762;21889;0.701396
92;20278;26005;21678;0.710597
93;20230;26108;21871;0.720610
94;20230;26586;21907;0.730729
95;20211;26110;21686;0.739947
96;20180;25934;21464;0.749526
97;20172;26310;21806;0.760137
98;20172;26215;21496;0.772770
99;20172;26318;21592;0.784540
100;20164;26074;21565;0.794413
101;20164;26040;21737;0.804942
102;20164;25930;21713;0.814459
103;20164;26541;21434;0.824122
104;20164;26062;21501;0.833241
105;20146;26120;21543;0.842546
106;20146;26759;21649;0.852024
107;20146;25868;21571;0.861402
108;20146;25864;21541;0.871291
109;20123;26529;21762;0.880471
110;20123;25800;21674;0.889768
111;20123;26138;21720;0.898836
112;20123;26352;21787;0.908930
113;20073;25802;21771;0.920695
114;20073;26157;21500;0.931193
115;20073;26457;21544;0.940365
116;20054;26571;21469;0.949958
117;20019;26063;21380;0.958889
118;20019;26139;21522;0.968075
119;19981;26050;21535;0.975268
120;19970;26337;21561;0.982785
121;19911;26764;21468;0.991073
122;19911;25831;21384;0.998729
123;19911;26323;21277;1.006131
124;19906;26246;21334;1.012336
125;19890;26413;21738;1.018821
126;19886;25689;21347;1.026285
127;19875;26525;21248;1.033505
128;19842;25872;21377;1.040856
129;19772;25812;21462;1.048250
130;19752;26046;21421;1.055946
131;19704;26454;21320;1.063415
132;19704;25995;21317;1.071079
133;19664;25650;21314;1.078680
134;19622;26151;21204;1.086624
135;19622;26201;21217;1.094202
136;19590;26247;21539;1.101765
137;19590;25756;21120;1.109154
138;19569;25977;21156;1.116658
139;19550;26302;21117;1.124009
140;19547;25847;21163;1.131268
141;19500;25722;21167;1.139261
142;19500;25987;21088;1.146557
143;19500;26186;21092;1.153824
144;19500;26616;21031;1.161041
145;19428;25891;20888;1.168359
146;19408;26356;20936;1.175408
147;19405;26340;21237;1.183084
148;19402;26294;21173;1.190540
149;19393;26698;21114;1.198076
150;19393;26263;21167;1.205409
151;19349;26508;21226;1.212777
152;19349;26248;20956;1.220052
153;19313;26312;20938;1.227319
154;19310;26384;20829;1.234671
155;19293;26130;20817;1.241987
156;19293;25866;20906;1.249335
157;19293;26095;21072;1.256760
158;19293;25880;20969;1.264174
159;19293;26221;20901;1.271466
160;19293;26777;21209;1.278820
